phase_block,pair,study_id,title,year,doi,pdf,coder_a,coder_a_status,coder_a_notes,coder_b,coder_b_status,coder_b_notes,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,review_note
phase2,Pair C,S179,Investigation of the moderation effect of gender and study level on the acceptan,2024,10.1111/bjet.13425,S179.pdf,R1,done,Two-country standardized coefficients sample-size weighted into one row; Poland/Egypt subgroup coefficients reported separately in source.,R4,done,,12,7,0,5,metadata differences; numeric/source correlation differences
phase2,Pair C,S188,New Challenges of Learning Accounting With Artificial Intelligence: The Role of,2024,10.12973/eu-jer.13.1.183,S188.pdf,R1,done,,R4,done,,30,9,15,6,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S192,"Utilization of, Perceptions on, and Intention to Use AI Chatbots Among Medical S",2024,10.2196/57132,S192.pdf,R1,done,Regression coefficients were beta-converted; risk and personal innovativeness excluded.,R4,done,,14,8,1,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S195,Impact and Perspectives of Generative Artificial Intelligence in Higher Educatio,2024,10.48009/3_iis_2024_119,S195.pdf,R1,excluded,Source check 2026-05-25: excluded pending adjudication log.,R4,excluded,Source check 2026-05-25: excluded pending adjudication log.,15,10,5,0,metadata differences; one-coder-only correlation values; exclusion/source-check
phase2,Pair C,S200,Chatbot Technology Use and Acceptance Using Educational Personas,2024,10.3390/informatics11020038,S200.pdf,R1,done,Fornell-Larcker off-diagonal correlations and bootstrapped paths coded; hedonic motivation and habit excluded from target rows.,R4,done,,24,9,10,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S216,Understanding the Factors Influencing Higher Education Students' Intention to Ad,2023,10.1109/ACCESS.2023.3314499,S216.pdf,R1,done,"Robot anxiety coded to ANX; enjoyment, output quality, result demonstrability, job relevance, playfulness, and image excluded.",R4,done,,17,10,1,6,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S224,"Adoption, use and enhancement of virtual learning during COVID-19",2022,10.1007/s10639-022-10985-x,S224.pdf,R1,excluded,Source check 2026-05-25: excluded pending adjudication log.,R4,excluded,Source check 2026-05-25: excluded pending adjudication log.,15,10,5,0,metadata differences; one-coder-only correlation values; exclusion/source-check
phase2,Pair D,S002,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence i,2025,10.1002/cae.70019,S002.pdf,R2,done,,R3,done,,8,6,0,2,metadata differences; numeric/source correlation differences
phase2,Pair D,S004,Unveiling the drivers of ChatGPT utilization in higher education sectors: the di,2025,10.1007/s10639-024-13095-y,S004.pdf,R2,done,,R3,done,,10,4,2,4,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S021,Generative AI in Action: Acceptance and Use Among Higher Education Staff Pre- an,2025,10.1007/s10758-025-09915-w,S021.pdf,R2,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,R3,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,11,11,0,0,metadata differences; source review
phase2,Pair D,S024,Understanding pre-service teachers' acceptance of generative artificial intellig,2025,10.1007/s11423-025-10495-w,S024.pdf,R2,done,,R3,done,,8,5,2,1,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S025,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher E,2025,10.1007/s11528-025-01096-8,S025.pdf,R2,done,,R3,done,,9,7,0,2,metadata differences; numeric/source correlation differences
phase2,Pair D,S027,Factors influencing Chinese college students' intention to use AIGC: a study bas,2025,10.1007/s13198-025-02772-x,S027.pdf,R2,done,,R3,done,,7,6,0,1,metadata differences; numeric/source correlation differences
phase2,Pair D,S031,Association between Generative AI self-efficacy and Generative AI acceptance: Th,2025,10.1016/j.actpsy.2025.105791,S031.pdf,R2,done,,R3,done,,14,7,7,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S032,A cross-national assessment of artificial intelligence (AI) Chatbot user percept,2025,10.1016/j.caeai.2025.100365,S032.pdf,R2,done,,R3,done,,8,6,2,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S039,Patients' Acceptance and Intentions on Using Artificial Intelligence in Dental D,2025,10.1016/j.identj.2025.103893,S039.pdf,R2,excluded,Source check 2026-05-25: excluded pending adjudication log.,R3,excluded,Source check 2026-05-25: excluded pending adjudication log.,6,6,0,0,metadata differences; exclusion/source-check
phase2,Pair D,S056,Examining the influence of individual-level cultural values on CFL learners’ acc,2025,10.1080/10494820.2024.2443785,S056.pdf,R2,done,,R3,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,11,8,3,0,metadata differences; one-coder-only correlation values; source review
phase2,Pair D,S065,Examining factors influencing university students' perceptions of AI technologie,2025,10.1080/2331186x.2025.2587487,S065.pdf,R2,done,,R3,done,,19,6,10,3,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S068,Physics instructors' acceptance and implementation of generative AI,2025,10.1103/r2fn-kdy4,S068.pdf,R2,done,,R3,done,,8,7,0,1,metadata differences; numeric/source correlation differences
phase2,Pair D,S077,The Influence of Social Support Theory on AI Acceptance: Examining Educational S,2025,10.1109/ACCESS.2025.3534099,S077.pdf,R2,done,,R3,done,,10,6,4,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S078,What Motivates Second Language Majors to Use Generative AI for Informal Learning,2025,10.1109/ACCESS.2025.3544489,S078.pdf,R2,done,,R3,done,,8,5,0,3,metadata differences; numeric/source correlation differences
phase2,Pair D,S085,Understanding the Effect of Risk Perception on the Acceptance and Use of Large L,2025,10.1145/3757693,S085.pdf,R2,done,,R3,done,,12,9,0,3,metadata differences; numeric/source correlation differences
phase2,Pair D,S092,"Chatting Heavily with ChatGPT: Investigating Usefulness, Privacy, Integrity, Eas",2025,10.1177/23294906251319016,S092.pdf,R2,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,R3,done,,12,9,3,0,metadata differences; one-coder-only correlation values; source review
phase2,Pair D,S094,Using Generative AI in nursing education: Students' perceptions,2025,10.1186/s12909-025-07416-z,S094.pdf,R2,done,,R3,done,,10,9,0,1,metadata differences; numeric/source correlation differences
phase2,Pair D,S096,Insights into the relationship between anxiety and attitudes toward artificial i,2025,10.1186/s12912-025-03490-2,S096.pdf,R2,done,,R3,done,,8,6,0,2,metadata differences; numeric/source correlation differences
phase2,Pair D,S098,What is the influence of psychosocial factors on artificial intelligence appropr,2025,10.1186/s40359-024-02328-x,S098.pdf,R2,done,,R3,done,,11,6,3,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S099,Artificial intelligence and communication technologies in academia: faculty perc,2025,10.1186/s41239-025-00511-7,S099.pdf,R2,done,,R3,done,,16,6,10,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S101,Determining Factors Influencing Indonesian Higher Education Students' Intention,2025,10.12973/eu-jer.14.3.805,S101.pdf,R2,excluded,Source check 2026-05-25: excluded pending adjudication log.,R3,excluded,Source check 2026-05-25: excluded pending adjudication log.,9,9,0,0,metadata differences; exclusion/source-check
phase2,Pair D,S114,Predicting EFL Students’ Use of Artificial Intelligence Tool in Advancing Their,2025,10.28991/ESJ-2025-SIED1-018,S114.pdf,R2,done,,R3,done,,6,5,1,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S118,Faculty acceptance and use of generative artificial intelligence in their practi,2025,10.3389/feduc.2025.1427450,S118.pdf,R2,excluded,Source check 2026-05-25: excluded pending adjudication log.,R3,excluded,Source check 2026-05-25: excluded pending adjudication log.,8,8,0,0,metadata differences; exclusion/source-check
phase2,Pair D,S121,Motivational and appraisal factors shaping generative AI use and intention in Au,2025,10.3389/feduc.2025.1677827,S121.pdf,R2,done,,R3,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,32,11,21,0,metadata differences; one-coder-only correlation values; source review
phase2,Pair D,S131,Generative AI as a Cognitive Co-Pilot in English Language Learning in Higher Edu,2025,10.3390/educsci15060686,S131.pdf,R2,done,,R3,done,,14,6,8,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S135,Exploring Generation Z's Acceptance of Artificial Intelligence in Higher Educati,2025,10.3390/educsci15081044,S135.pdf,R2,done,,R3,done,,9,7,2,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S137,Responses to the AI Revolution in Hospitality and Tourism Higher Education: The,2025,10.3390/ejihpe15030035,S137.pdf,R2,done,,R3,done,,7,5,2,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S143,Sustainable AI Solutions for Empowering Visually Impaired Students: The Role of,2025,10.3390/su17125609,S143.pdf,R2,done,,R3,done,,12,7,0,5,metadata differences; numeric/source correlation differences
phase2,Pair D,S150,The Use of Artificial Intelligence in Accounting Classes: Behavioral Insights fr,2025,10.47738/jads.v6i3.781,S150.pdf,R2,done,,R3,done,,10,7,2,1,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S157,Examining the moderating effect of motivation on technology acceptance of genera,2024,10.1007/s10639-024-12763-3,S157.pdf,R2,done,,R3,done,,20,6,13,1,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S161,Do in-service teachers accept artificial intelligence-driven technology? The med,2024,10.1016/j.caeo.2024.100191,S161.pdf,R2,done,,R3,done,,11,6,3,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S171,Investigating the adoption of AI in higher education: a study of public universi,2024,10.1080/2331186X.2024.2380175,S171.pdf,R2,done,,R3,done,,12,7,1,4,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S173,Economics students' behavioural intention and usage of ChatGPT in higher educati,2024,10.1080/23311886.2023.2300177,S173.pdf,R2,done,,R3,done,,10,5,0,5,metadata differences; numeric/source correlation differences
phase2,Pair D,S181,University Learners' Readiness for ChatGPT-Assisted English Learning: Scale Deve,2024,10.1111/ejed.12886,S181.pdf,R2,done,,R3,done,,12,6,0,6,metadata differences; numeric/source correlation differences
phase2,Pair D,S183,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model I,2024,10.1177/02704676241283362,S183.pdf,R2,done,,R3,done,,19,5,5,9,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S197,Modeling Teachers' Acceptance of Generative Artificial Intelligence Use in Highe,2024,10.3390/educsci14111209,S197.pdf,R2,done,,R3,done,,17,7,10,0,metadata differences; one-coder-only correlation values
phase2,Pair D,S202,The Use of AI-Driven Automation to Enhance Student Learning Experiences in the K,2024,10.3390/su16145970,S202.pdf,R2,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,R3,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,7,7,0,0,metadata differences; source review
phase2,Pair D,S204,Understanding Chinese University EFL Learners' Perceptions of AI in English Writ,2024,10.4018/IJCALLT.358918,S204.pdf,R2,done,,R3,done,,12,6,4,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair D,S206,Examining generative artificial intelligence adoption in academia: a UTAUT persp,2024,10.48009/3_iis_2024_119,S206.pdf,R2,excluded,Source check 2026-05-25: excluded pending adjudication log.,R3,excluded,Source check 2026-05-25: excluded pending adjudication log.,9,9,0,0,metadata differences; exclusion/source-check
phase2,Pair D,S207,Antecedents of adoption and usage of ChatGPT among Jordanian university students,2024,10.5267/j.ijdns.2023.11.024,S207.pdf,R2,done,,R3,done,,12,6,0,6,metadata differences; numeric/source correlation differences
phase2,Pair D,S210,Artificial Intelligence Powered Pedagogy: Unveiling Higher Educators' Acceptance,2024,10.53761/s1pkk784,S210.pdf,R2,done,,R3,done,,10,7,0,3,metadata differences; numeric/source correlation differences
phase2,Pair D,S221,Use of ChatGPT at University as a Tool for Complex Thinking: Students' Perceived,2023,10.7821/naer.2023.7.1458,S221.pdf,R2,done,,R3,done,,10,6,2,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
