study_id,observed_construct_count,observed_constructs,missing_constructs,observed_pair_count,missing_pair_count,has_anx_tru,source_review_status,densification_decision,source_basis,next_action,missing_pairs
S161,5,ATT;BI;EE;FC;PE,ANX;SE;SI;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S186,5,BI;EE;FC;PE;UB,ANX;ATT;SE;SI;TRU,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;EE-SE;EE-SI;EE-TRU;FC-SE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S208,5,BI;EE;PE;SI;TRU,ANX;ATT;FC;SE;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-UB;EE-FC;EE-SE;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S219,5,ANX;ATT;BI;EE;PE,FC;SE;SI;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-FC;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S184,5,BI;FC;SE;SI;UB,ANX;ATT;EE;PE;TRU,9,36,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-PE;BI-TRU;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;PE-UB;SE-TRU;SI-TRU;TRU-UB
S097,5,ATT;BI;EE;PE;UB,ANX;FC;SE;SI;TRU,8,37,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S017,4,BI;EE;PE;UB,ANX;ATT;FC;SE;SI;TRU,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S020,4,BI;EE;FC;PE,ANX;ATT;SE;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S031,4,PE;SE;TRU;UB,ANX;ATT;BI;EE;FC;SI,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;SE-SI;SI-TRU;SI-UB
S077,4,ATT;BI;EE;PE,ANX;FC;SE;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S078,4,ATT;BI;SE;SI,ANX;EE;FC;PE;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S083,4,ATT;BI;EE;PE,ANX;FC;SE;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S098,4,ANX;PE;SE;SI,ATT;BI;EE;FC;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S125,4,ATT;EE;PE;SE,ANX;BI;FC;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-FC;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S142,4,ANX;ATT;FC;UB,BI;EE;PE;SE;SI;TRU,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-BI;ANX-EE;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ATT-BI;ATT-EE;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S145,4,ATT;BI;EE;UB,ANX;FC;PE;SE;SI;TRU,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S155,4,BI;EE;PE;TRU,ANX;ATT;FC;SE;SI;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-UB;EE-FC;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S181,4,ANX;ATT;BI;SI,EE;FC;PE;SE;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S209,4,ATT;BI;EE;PE,ANX;FC;SE;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S210,4,BI;EE;PE;SE,ANX;ATT;FC;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S218,4,ATT;BI;EE;PE,ANX;FC;SE;SI;TRU;UB,6,39,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S148,5,ATT;BI;EE;PE;UB,ANX;FC;SE;SI;TRU,5,40,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S149,5,ATT;BI;EE;PE;UB,ANX;FC;SE;SI;TRU,5,40,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S197,4,ATT;EE;PE;UB,ANX;BI;FC;SE;SI;TRU,5,40,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S212,4,ATT;BI;EE;PE,ANX;FC;SE;SI;TRU;UB,5,40,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S085,4,BI;EE;PE;SI,ANX;ATT;FC;SE;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S022,3,BI;EE;PE,ANX;ATT;FC;SE;SI;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S034,3,BI;EE;PE,ANX;ATT;FC;SE;SI;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S090,3,EE;PE;UB,ANX;ATT;BI;FC;SE;SI;TRU,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S111,3,BI;PE;SI,ANX;ATT;EE;FC;SE;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S123,3,BI;EE;PE,ANX;ATT;FC;SE;SI;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S167,3,ATT;BI;PE,ANX;EE;FC;SE;SI;TRU;UB,3,42,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S096,3,ANX;ATT;UB,BI;EE;FC;PE;SE;SI;TRU,2,43,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S100,3,BI;TRU;UB,ANX;ATT;EE;FC;PE;SE;SI,2,43,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB
