study_id,phase_block,pair,title,freeze_terminal_status,n_frozen_rows,row_application_source,status_source,freeze_authorization_status,qa_status,caveat_status,next_action,evidence_basis,notes
S053,phase1,Pair A,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk",included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S054,phase1,Pair A,A study on behavioral intentions of artificial intelligence learning platform: C,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S055,phase1,Pair B,Predictors of higher education students' behavioural intention and usage of Chat,included_frozen_reference,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S056,phase2,Pair D,Examining the influence of individual-level cultural values on CFL learners’ acc,included_frozen_reference,3,source_checked_or_logged_reference_draft_rows,paper_b_phase2_step4_decision_application_audit_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,path_or_beta_conversion_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,notes=Use source-reported construct correlations rather than R2 beta-converted path values. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S057,phase1,Pair B,Proposing a conceptual model for the adoption of artificial intelligence by teac,included_frozen_reference,28,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S058,phase2,Pair C,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S060,phase1,Pair B,Factors affecting EFL students' behavioral intention to use AI in EFL writing de,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S061,phase2,Pair C,Leveraging AI in academia: university students' adoption of ChatGPT for writing,included_frozen_reference,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S062,phase2,Pair C,Factors influencing the acceptance and usage of ChatGPT as an emerging learning,included_frozen_reference,6,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S063,phase2,Pair C,Student utilization and perceptions of AI technology for academic purposes: a mi,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S064,phase1,Pair A,AIDUA (artificial intelligence device use and acceptance) model to assess the ac,included_frozen_reference,4,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S065,phase2,Pair D,Examining factors influencing university students' perceptions of AI technologie,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S066,phase2,Pair C,The role of perceived trust and technology anxiety in intention to use technolog,included_frozen_reference,12,source_checked_or_logged_reference_draft_rows,full_corpus_manual_blocker_status_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,manual_resolution_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_manual_blocker_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=reference_draft_created_manual_blocker_resolved. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S067,phase2,Pair C,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S068,phase2,Pair D,Physics instructors' acceptance and implementation of generative AI,included_frozen_reference,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S069,phase2,Pair C,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S070,phase2,Pair C,Factors affecting intention of academic librarians in Pakistan universities to u,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S071,phase1,Pair A,Assessing attitudes and impact of AI integration in higher education,included_frozen_reference,5,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S072,phase1,Pair B,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S073,phase1,Pair B,Developing enrollment intentions for work-based learning that uses artificial in,included_frozen_reference,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S074,phase1,Pair A,Understanding AI acceptance among Indonesian pre-service teachers: the mediating,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,orientation_caveat; anx_axt_orientation_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S075,phase2,Pair C,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis usi,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S076,phase1,Pair A,ChatGPT in the classroom: navigating the generative AI wave among international,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S077,phase2,Pair D,The Influence of Social Support Theory on AI Acceptance: Examining Educational S,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S078,phase2,Pair D,What Motivates Second Language Majors to Use Generative AI for Informal Learning,included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S079,phase1,Pair A,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementin,included_frozen_reference,5,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,path_or_beta_conversion_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S080,phase2,Pair C,Determinants of Generative AI Adoption Through the UTAUT Model: Insights From Po,included_frozen_reference,4,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S081,phase1,Pair A,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UT,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,phase1_high_confidence_reference_draft_status_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; phase1_high_confidence_reference_draft_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,draft_status=included_row_draft_high_confidence; decision_summary=Use R1 direct Table 4 values for all unresolved R1-R2 correlation differences.; notes=Full R1 row set drafted. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S082,phase2,Pair C,What Drives University Students to Use ChatGPT for Translation? Disciplinary and,included_frozen_reference,10,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S083,phase2,Pair D,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based,included_frozen_reference,6,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S085,phase2,Pair D,Understanding the Effect of Risk Perception on the Acceptance and Use of Large L,included_frozen_reference,3,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S086,phase1,Pair A,Investigating the factors influencing the adoption and use of artificial intelli,included_frozen_reference,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S087,phase1,Pair A,"Impact of technology literacy, information literacy, and user satisfaction on th",included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
