study_id,phase_block,pair,title,n_one_coder_only,n_numeric_or_source_diff,n_metadata_diff,n_coder_correlation_rows,triage_bucket,recommended_batch,evidence_basis,review_note
S098,phase2,Pair D,What is the influence of psychosocial factors on artificial intelligence appropr,3,2,6,9,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S143,phase2,Pair D,Sustainable AI Solutions for Empowering Visually Impaired Students: The Role of,0,5,7,20,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S148,phase2,Pair C,Student acceptance of ChatGPT in higher education: A mixed-method study of attit,4,1,9,6,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S161,phase2,Pair D,Do in-service teachers accept artificial intelligence-driven technology? The med,3,2,6,17,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S170,phase1,Pair B,Exploring pre-service biology teachers' intention to teach genetics using an AI,5,0,14,5,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S171,phase2,Pair D,Investigating the adoption of AI in higher education: a study of public universi,1,4,7,29,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S173,phase2,Pair D,Economics students' behavioural intention and usage of ChatGPT in higher educati,0,5,5,42,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S179,phase2,Pair C,Investigation of the moderation effect of gender and study level on the acceptan,0,5,7,10,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S077,phase2,Pair D,The Influence of Social Support Theory on AI Acceptance: Examining Educational S,4,0,6,16,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S080,phase2,Pair C,Determinants of Generative AI Adoption Through the UTAUT Model: Insights From Po,0,4,11,8,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S221,phase2,Pair D,Use of ChatGPT at University as a Tool for Complex Thinking: Students' Perceived,2,2,6,30,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S019,phase1,Pair A,Exploring user awareness and perceived usefulness of generative AI in higher edu,0,3,9,6,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S024,phase2,Pair D,Understanding pre-service teachers' acceptance of generative artificial intellig,2,1,5,20,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S050,phase1,Pair B,Examining factors influencing university students' adoption of generative artifi,0,3,3,30,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S078,phase2,Pair D,What Motivates Second Language Majors to Use Generative AI for Informal Learning,0,3,5,12,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S085,phase2,Pair D,Understanding the Effect of Risk Perception on the Acceptance and Use of Large L,0,3,9,6,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S115,phase2,Pair C,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabular,3,0,7,9,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S142,phase1,Pair B,Exploring the Determinants of the Sustainable Use of Artificial Intelligence in,3,0,3,9,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S150,phase2,Pair D,The Use of Artificial Intelligence in Accounting Classes: Behavioral Insights fr,2,1,7,10,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S152,phase2,Pair C,Mapping Edifying Territories: A Cross-Sectional Study on the Dynamics Influencin,0,3,6,6,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S177,phase1,Pair A,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for le,0,3,8,6,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S184,phase1,Pair B,Development and Validation of the Artificial Intelligence Learning Intention Sca,0,3,5,20,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S210,phase2,Pair D,Artificial Intelligence Powered Pedagogy: Unveiling Higher Educators' Acceptance,0,3,7,12,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S213,phase1,Pair B,Exploring the role of intrinsic motivation in ChatGPT adoption to support active,3,0,15,3,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S002,phase2,Pair D,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence i,0,2,6,30,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S025,phase2,Pair D,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher E,0,2,7,42,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S032,phase2,Pair D,A cross-national assessment of artificial intelligence (AI) Chatbot user percept,2,0,6,30,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S096,phase2,Pair D,Insights into the relationship between anxiety and attitudes toward artificial i,0,2,6,4,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S135,phase2,Pair D,Exploring Generation Z's Acceptance of Artificial Intelligence in Higher Educati,2,0,7,20,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S137,phase2,Pair D,Responses to the AI Revolution in Hospitality and Tourism Higher Education: The,2,0,5,30,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S167,phase1,Pair B,Factors Influencing Learner Attitudes Towards ChatGPT-Assisted Language Learning,2,0,5,4,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S211,phase1,Pair A,"The determinants of ChatGPT usage among accounting students: the role of habit,",2,0,13,2,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S027,phase2,Pair D,Factors influencing Chinese college students' intention to use AIGC: a study bas,0,1,6,20,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S034,phase2,Pair C,What influences college students using AI for academic writing? - A quantitative,1,0,8,5,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S061,phase2,Pair C,Leveraging AI in academia: university students' adoption of ChatGPT for writing,1,0,9,13,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S068,phase2,Pair D,Physics instructors' acceptance and implementation of generative AI,0,1,7,14,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S094,phase2,Pair D,Using Generative AI in nursing education: Students' perceptions,0,1,9,2,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S100,phase1,Pair B,In GenAI we trust: An investigation of university students' reliance on and resi,1,0,8,5,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S114,phase2,Pair D,Predicting EFL Students’ Use of Artificial Intelligence Tool in Advancing Their,1,0,5,29,low_burden_correlation_adjudication,batch_5_low_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
