study_id,phase_block,pair,title,year,doi,pdf,coder_a,coder_a_status,coder_b,coder_b_status,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,n_coder_correlation_rows,in_correlation_review_queue,source_evidence_logged,scoped_frozen_target_rows,scoped_frozen_audit_status,phase2_source_check_status,gap_category,step4_status,recommended_next_action,evidence_basis,review_note
S013,phase1,Pair B,Exploring factors that influence graduate students' intention to use generative,2025,10.1007/s10639-025-13530-8,S013.pdf,R3,done,R4,done,3,3,0,0,30,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S016,phase1,Pair B,Exploring the acceptance of generative artificial intelligence-assisted learning,2025,10.1007/s10639-025-13551-3,S016.pdf,R3,done,R4,done,6,6,0,0,42,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S017,phase1,Pair B,Are university teachers ready for generative artificial intelligence? Unpacking,2025,10.1007/s10639-025-13585-7,S017.pdf,R3,done,R4,done,11,4,7,0,7,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S020,phase1,Pair B,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Pe,2025,10.1007/s10758-025-09830-0,S020.pdf,R3,done,R4,done,7,2,5,0,17,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S026,phase1,Pair B,Exploring the usage behavior of generative artificial intelligence: a case study,2025,10.1007/s12144-024-07193-w,S026.pdf,R3,done,R4,done,10,5,5,0,25,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S043,phase1,Pair B,University EFL instructors' engagement with generative AI: A cross-cultural anal,2025,10.1016/j.system.2025.103861,S043.pdf,R3,done_inferred,R4,done,21,15,6,0,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S045,phase1,Pair B,Factors influencing the acceptance and use of ChatGPT among English as a foreign,2025,10.1057/s41599-025-04945-2,S045.pdf,R3,done,R4,done,15,5,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S047,phase1,Pair B,Bridging AI literacy and UTAUT constructs: structural equation modeling of AI ad,2025,10.1057/s41599-025-05775-y,S047.pdf,R3,done,R4,done,4,4,0,0,20,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S048,phase1,Pair B,Understanding students' adoption of the ChatGPT chatbot in higher education: the,2025,10.1080/0144929X.2024.2317364,S048.pdf,R3,done,R4,done,24,3,21,0,21,yes,yes,21,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,"One-coder-only row set should be carried to final freeze audit, but values are source-checkable in the PDF table."
S050,phase1,Pair B,Examining factors influencing university students' adoption of generative artifi,2025,10.1080/03075079.2024.2427786,S050.pdf,R3,done,R4,done,6,3,0,3,30,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S052,phase1,Pair B,Modeling students’ perceptions of artificial intelligence assisted language lear,2025,10.1080/09588221.2023.2246519,S052.pdf,R3,done,R4,done,16,6,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S055,phase1,Pair B,Predictors of higher education students' behavioural intention and usage of Chat,2025,10.1080/10494820.2024.2362805,S055.pdf,R3,done,R4,done,10,2,6,2,36,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S057,phase1,Pair B,Proposing a conceptual model for the adoption of artificial intelligence by teac,2025,10.1080/10494820.2025.2457350,S057.pdf,R3,done_inferred,R4,done,33,5,28,0,28,yes,yes,28,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,"One-coder-only row set and source table typo should be visible in final freeze audit, but retained target rows are source-checkable."
S060,phase1,Pair B,Factors affecting EFL students' behavioral intention to use AI in EFL writing de,2025,10.1080/17501229.2025.2563695,S060.pdf,R3,done_inferred,R4,done,29,14,15,0,15,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S072,phase1,Pair B,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,2025,10.1108/HESWBL-02-2025-0062,S072.pdf,R3,done,R4,done,19,2,10,7,42,yes,yes,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S073,phase1,Pair B,Developing enrollment intentions for work-based learning that uses artificial in,2025,10.1108/HESWBL-10-2024-0315,S073.pdf,R3,done,R4,done,13,6,7,0,7,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S090,phase1,Pair B,Generative AI Use Among Saudi and Korean Language Learners in Higher Education:,2025,10.1177/21582440251387804,S090.pdf,R3,done,R4,done,3,3,0,0,6,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S097,phase1,Pair B,Applying the technology acceptance model to examine factors influencing chatbot,2025,10.1186/s12912-025-03620-w,S097.pdf,R3,done,R4,done,12,2,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S100,phase1,Pair B,In GenAI we trust: An investigation of university students' reliance on and resi,2025,10.1186/s41239-025-00547-9,S100.pdf,R3,done,R4,done,9,8,1,0,5,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S105,phase1,Pair B,The Use of ChatGPT in Academic Writing by University Students in Jordan,2025,10.18178/ijiet.2025.15.7.2348,S105.pdf,R3,done,R4,done,5,5,0,0,0,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S109,phase1,Pair B,Acceptance of AI-Powered Chatbots Among Physiotherapy Students: International Cr,2025,10.2196/76574,S109.pdf,R3,done,R4,done,6,6,0,0,0,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S111,phase1,Pair B,FACTORS INFLUENCING ARTIFICIAL INTELLIGENCE (AI) ADOPTION AMONG MALAYSIAN STUDEN,2025,10.24200/jonus.vol10iss2pp475-493,S111.pdf,R3,done,R4,done,9,3,3,3,9,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S117,phase1,Pair B,Factors Influencing International Students' Adoption of Generative Artificial In,2025,10.32674/fnwdpn48,S117.pdf,R3,done,R4,done,14,7,7,0,7,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S125,phase1,Pair B,Exploring AI tool adoption in higher education: evidence from a PLS-SEM model in,2025,10.3389/fpsyg.2025.1619391,S125.pdf,R3,done,R4,done,15,4,9,2,21,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S127,phase1,Pair B,Academic Level as a Moderator in University Students' Acceptance of Educational,2025,10.3390/app151910603,S127.pdf,R3,done_inferred,R4,done,30,15,15,0,15,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S130,phase1,Pair B,Mindsets Matter: A Mediation Analysis of the Role of a Technological Growth Mind,2025,10.3390/educsci15030310,S130.pdf,R3,done_inferred,R4,done,25,15,10,0,10,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S141,phase1,Pair B,Artificial Intelligence Adoption Amongst Digitally Proficient Trainee Teachers:,2025,10.3390/socsci14060355,S141.pdf,R3,done_inferred,R4,done,25,15,10,0,10,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S142,phase1,Pair B,Exploring the Determinants of the Sustainable Use of Artificial Intelligence in,2025,10.3390/su17072834,S142.pdf,R3,done,R4,done,6,3,3,0,9,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S144,phase1,Pair B,Research Article A detailed examination of faculty acceptance of artificial inte,2025,10.33902/jpsp.202534245,S144.pdf,R3,done,R4,done,6,6,0,0,0,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S146,phase1,Pair B,The Role of Learning Motivation Factors in Deepseek Generative AI Adoption among,2025,10.34190/ejel.23.4.4245,S146.pdf,R3,done,R4,done,20,5,5,10,25,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S154,phase1,Pair B,Factors influencing students' intention to adopt and use ChatGPT in higher educa,2024,10.1007/s10639-023-12333-z,S154.pdf,R3,done_inferred,R4,done,24,14,10,0,10,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S160,phase1,Pair B,"Exploring the paradoxical use of ChatGPT in education: Analyzing benefits, risks",2024,10.1016/j.caeai.2024.100329,S160.pdf,R3,done_inferred,R4,done,21,15,6,0,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S163,phase1,Pair B,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive,2024,10.1016/j.heliyon.2024.e29317,S163.pdf,R3,done,R4,done,19,3,7,9,25,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S167,phase1,Pair B,Factors Influencing Learner Attitudes Towards ChatGPT-Assisted Language Learning,2024,10.1080/10447318.2023.2261725,S167.pdf,R3,done,R4,done,7,5,2,0,4,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S170,phase1,Pair B,Exploring pre-service biology teachers' intention to teach genetics using an AI,2024,10.1080/2331186X.2024.2310976,S170.pdf,R3,done_inferred,R4,done,19,14,5,0,5,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S174,phase1,Pair B,Students' adoption of AI-based teacher-bots (T-bots) for learning in higher educ,2024,10.1108/itp-02-2021-0152,S174.pdf,R3,done_inferred,R4,done,24,14,10,0,10,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S176,phase1,Pair B,Examining ChatGPT adoption among educators in higher educational institutions us,2024,10.1108/jices-03-2024-0033,S176.pdf,R3,done,R4,done,8,1,7,0,49,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S184,phase1,Pair B,Development and Validation of the Artificial Intelligence Learning Intention Sca,2024,10.1177/21582440241242188,S184.pdf,R3,done,R4,done,8,5,0,3,20,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S186,phase1,Pair B,AI in medical education: the moderating role of the chilling effect and STARA aw,2024,10.1186/s12909-024-05627-4,S186.pdf,R3,done,R4,done,20,6,5,9,25,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S193,phase1,Pair B,Using Artificial Intelligence Technology to Improve Business English Language Te,2024,10.2478/amns-2024-2365,S193.pdf,R3,done_inferred,R4,done,29,14,15,0,15,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S198,phase1,Pair B,Examining Students' Acceptance and Use of ChatGPT in Saudi Arabian Higher Educat,2024,10.3390/ejihpe14030047,S198.pdf,R3,done,R4,done,4,4,0,0,30,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S212,phase1,Pair B,Every Coin has Two Sides: Navigating Factors of Generative Pre-Trained Transform,2024,10.57239/PJLSS-2024-22.1.00424,S212.pdf,R3,done,R4,done,13,5,3,5,13,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S213,phase1,Pair B,Exploring the role of intrinsic motivation in ChatGPT adoption to support active,2023,10.1016/j.caeai.2023.100178,S213.pdf,R3,done_inferred,R4,done,18,15,3,0,3,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S214,phase1,Pair B,ChatGPT in higher education learning: Acceptance and use,2023,10.1016/j.caeai.2023.100190,S214.pdf,R3,done,R4,done,13,2,11,0,31,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S215,phase1,Pair B,The impact of technology readiness and use perceptions on students’ adoption of,2023,10.1108/DLO-07-2022-0133,S215.pdf,R3,done,R4,done,5,5,0,0,0,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S219,phase1,Pair B,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology A,2023,10.3390/educsci13111151,S219.pdf,R3,done,R4,done,5,5,0,0,20,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S225,phase1,Pair B,AI-Based Chatbots Adoption Model for Higher-Education Institutions: A Hybrid PLS,2022,10.3390/su141912726,S225.pdf,R3,done_inferred,R4,done,20,14,6,0,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S003,phase2,Pair C,The moderating role of technology proficiency and academic discipline in AI-chat,2025,10.1007/s10639-024-13023-0,S003.pdf,R1,done,R4,done,9,9,0,0,20,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S006,phase2,Pair C,Exploring the adoption of AI-enabled English learning applications among univers,2025,10.1007/s10639-025-13349-3,S006.pdf,R1,done,R4,done,5,5,0,0,30,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S014,phase2,Pair C,The role of perceived utility and ethical concerns in the adoption of AI-based d,2025,10.1007/s10639-025-13535-3,S014.pdf,R1,done,R4,review_source,11,9,2,0,2,yes,yes,0,no_usable_target_rows,include_candidate,scoped_phase2_frozen,frozen_scoped_package,"No action for scoped package; include in any full freeze as already frozen/audited, while preserving scope note.",reference_standard_freeze_log_20260608.md; paper_b_phase2_source_adjudicated_reference_frozen_20260608.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv,metadata differences; one-coder-only correlation values; source review
S029,phase2,Pair C,Key factors influencing intention to use ChatGPT: An empirical study of U. S. st,2025,10.1016/j.actpsy.2025.105516,S029.pdf,R1,done,R4,done,7,7,0,0,20,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S034,phase2,Pair C,What influences college students using AI for academic writing? - A quantitative,2025,10.1016/j.caeai.2025.100391,S034.pdf,R1,done,R4,done,9,8,1,0,5,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S036,phase2,Pair C,Factors affecting acceptance of ChatGPT-4o by English language instructors: The,2025,10.1016/j.caeai.2025.100452,S036.pdf,R1,done,R4,done,6,6,0,0,42,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S037,phase2,Pair C,Factors influencing intention to adopt an AI chatbot for learning in higher educ,2025,10.1016/j.caeai.2025.100477,S037.pdf,R1,done,R4,done,7,7,0,0,20,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S040,phase2,Pair C,Integrating AI chatbots for enhancing academic support in business education: A,2025,10.1016/j.ijme.2025.101252,S040.pdf,R1,done,R4,done,8,8,0,0,12,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S049,phase2,Pair C,Exploring factors influencing L2 learners’ use of GAI-assisted writing technolog,2025,10.1080/02188791.2025.2505664,S049.pdf,R1,done,R4,done,10,10,0,0,30,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S058,phase2,Pair C,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,2025,10.1080/10963758.2025.2586522,S058.pdf,R1,done,R4,done,18,12,0,6,12,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S061,phase2,Pair C,Leveraging AI in academia: university students' adoption of ChatGPT for writing,2025,10.1080/2331186X.2025.2485522,S061.pdf,R1,done,R4,done,10,9,1,0,13,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S062,phase2,Pair C,Factors influencing the acceptance and usage of ChatGPT as an emerging learning,2025,10.1080/2331186X.2025.2504224,S062.pdf,R1,done,R4,done,6,6,0,0,12,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S063,phase2,Pair C,Student utilization and perceptions of AI technology for academic purposes: a mi,2025,10.1080/2331186X.2025.2553835,S063.pdf,R1,done,R4,done,18,8,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S066,phase2,Pair C,The role of perceived trust and technology anxiety in intention to use technolog,2025,10.1080/2331186X.2025.2597051,S066.pdf,R1,done,R4,done,25,12,2,11,24,yes,no,0,,,residual_batch2_manual_followup_required_before_reference_draft,source_checked_manual_followup_not_frozen_full_corpus,Resolve batch 2 manual follow-up issue before row-level reference draft.,full_corpus_residual_batch2_source_audit_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; manual follow-up required before row draft
S067,phase2,Pair C,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,2025,10.1080/23311886.2025.2476044,S067.pdf,R1,done,R4,done,26,11,5,10,25,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S069,phase2,Pair C,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,2025,10.1108/EL-12-2024-0391,S069.pdf,R1,done,R4,done,16,10,0,6,12,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
