study_id,phase_block,pair,title,audit_type,audit_status,study_terminal_status,exclusion_code,coder_a,coder_a_status,coder_b,coder_b_status,n_metadata_diff,n_coder_correlation_rows,n_unique_coder_agreed_reference_rows,target_row_adjudication_required,source_value_adjudication_required,source_check_level,metadata_status_decision,correlation_status_decision,final_freeze_handling,evidence_basis,notes
S106,phase2,Pair D,Unleashing the determinants of adoption of ChatGPT in medical education: A stude,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,7,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S107,phase2,Pair D,Integrating AI in Academia: A SEM Evaluation of Research Scholars’ Usage Intenti,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,5,8,4,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,4 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 4 of 4 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S123,phase2,Pair D,Balancing generative AI integration and faculty well-being: evidence from Chines,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,5,6,3,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,3 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 3 of 3 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S124,phase2,Pair D,Exploring pre-service music teachers' acceptance of generative artificial intell,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,6,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S133,phase2,Pair D,Habit Predicting Higher Education EFL Students' Intention and Use of AI: A Nexus,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,6,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S149,phase2,Pair D,Measuring Graduate Students' Use of ChatGPT in Academic Writing Based on the Tec,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,4,10,5,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,5 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 5 of 5 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S155,phase2,Pair D,Gen-AI integration in higher education: Predicting intentions using SEM-ANN appr,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,7,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S158,phase2,Pair D,Students' Acceptance of ChatGPT in Higher Education: An Extended Unified Theory,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,6,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S165,phase2,Pair D,Impact of AI chatbots on EFL learners' technology adoption,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,5,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S175,phase2,Pair D,Second language writing anxiety and ChatGPT adoption as an automated writing eva,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,4,8,4,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,4 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 4 of 4 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S209,phase2,Pair D,Factors affecting ChatGPT use in education employing TAM: A Jordanian universiti,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,4,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
