study_id,phase_block,pair,title,application_terminal_status,n_application_rows,row_application_source,status_source,freeze_authorization_status,qa_status,caveat_status,next_action,evidence_basis,notes
S046,phase1,Pair A,"Artificial intelligence, social influence, and AI anxiety: analyzing the intenti",included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S047,phase1,Pair B,Bridging AI literacy and UTAUT constructs: structural equation modeling of AI ad,included_reference_application_draft,10,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S048,phase1,Pair B,Understanding students' adoption of the ChatGPT chatbot in higher education: the,included_reference_application_draft,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S049,phase2,Pair C,Exploring factors influencing L2 learners’ use of GAI-assisted writing technolog,included_reference_application_draft,15,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S050,phase1,Pair B,Examining factors influencing university students' adoption of generative artifi,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S051,phase1,Pair A,Technology empowerment or risk avoidance? - investigating the overlooked factors,included_reference_application_draft,15,partial_phase1_application_completion_rows; source_checked_or_logged_reference_draft_rows,phase1_high_confidence_reference_draft_status_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,partial_phase1_completion_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; phase1_high_confidence_reference_draft_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,"draft_status=included_partial_row_draft; decision_summary=Do not map Perceived Risk to ANX; include R1 direct EE-FC=.59, EE-PE=.48, and FC-PE=.47.; notes=Partial row draft only. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded."
S052,phase1,Pair B,Modeling students’ perceptions of artificial intelligence assisted language lear,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S053,phase1,Pair A,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk",included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S054,phase1,Pair A,A study on behavioral intentions of artificial intelligence learning platform: C,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S055,phase1,Pair B,Predictors of higher education students' behavioural intention and usage of Chat,included_reference_application_draft,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S056,phase2,Pair D,Examining the influence of individual-level cultural values on CFL learners’ acc,included_reference_application_draft,3,source_checked_or_logged_reference_draft_rows,paper_b_phase2_step4_decision_application_audit_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,path_or_beta_conversion_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,notes=Use source-reported construct correlations rather than R2 beta-converted path values. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S057,phase1,Pair B,Proposing a conceptual model for the adoption of artificial intelligence by teac,included_reference_application_draft,28,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S058,phase2,Pair C,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S060,phase1,Pair B,Factors affecting EFL students' behavioral intention to use AI in EFL writing de,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S061,phase2,Pair C,Leveraging AI in academia: university students' adoption of ChatGPT for writing,included_reference_application_draft,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S062,phase2,Pair C,Factors influencing the acceptance and usage of ChatGPT as an emerging learning,included_reference_application_draft,6,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S063,phase2,Pair C,Student utilization and perceptions of AI technology for academic purposes: a mi,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S064,phase1,Pair A,AIDUA (artificial intelligence device use and acceptance) model to assess the ac,included_reference_application_draft,4,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S065,phase2,Pair D,Examining factors influencing university students' perceptions of AI technologie,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S066,phase2,Pair C,The role of perceived trust and technology anxiety in intention to use technolog,included_reference_application_draft,12,source_checked_or_logged_reference_draft_rows,full_corpus_manual_blocker_status_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,manual_resolution_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_manual_blocker_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=reference_draft_created_manual_blocker_resolved. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S067,phase2,Pair C,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S068,phase2,Pair D,Physics instructors' acceptance and implementation of generative AI,included_reference_application_draft,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S069,phase2,Pair C,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S070,phase2,Pair C,Factors affecting intention of academic librarians in Pakistan universities to u,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S071,phase1,Pair A,Assessing attitudes and impact of AI integration in higher education,included_reference_application_draft,5,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S072,phase1,Pair B,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S073,phase1,Pair B,Developing enrollment intentions for work-based learning that uses artificial in,included_reference_application_draft,7,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S074,phase1,Pair A,Understanding AI acceptance among Indonesian pre-service teachers: the mediating,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,orientation_caveat; anx_axt_orientation_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S075,phase2,Pair C,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis usi,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S076,phase1,Pair A,ChatGPT in the classroom: navigating the generative AI wave among international,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S077,phase2,Pair D,The Influence of Social Support Theory on AI Acceptance: Examining Educational S,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S078,phase2,Pair D,What Motivates Second Language Majors to Use Generative AI for Informal Learning,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S079,phase1,Pair A,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementin,included_reference_application_draft,5,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,path_or_beta_conversion_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S080,phase2,Pair C,Determinants of Generative AI Adoption Through the UTAUT Model: Insights From Po,included_reference_application_draft,4,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S081,phase1,Pair A,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UT,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,phase1_high_confidence_reference_draft_status_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; phase1_high_confidence_reference_draft_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,draft_status=included_row_draft_high_confidence; decision_summary=Use R1 direct Table 4 values for all unresolved R1-R2 correlation differences.; notes=Full R1 row set drafted. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S082,phase2,Pair C,What Drives University Students to Use ChatGPT for Translation? Disciplinary and,included_reference_application_draft,10,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S083,phase2,Pair D,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based,included_reference_application_draft,6,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S085,phase2,Pair D,Understanding the Effect of Risk Perception on the Acceptance and Use of Large L,included_reference_application_draft,3,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S086,phase1,Pair A,Investigating the factors influencing the adoption and use of artificial intelli,included_reference_application_draft,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S087,phase1,Pair A,"Impact of technology literacy, information literacy, and user satisfaction on th",included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S088,phase2,Pair C,Generative AI in Higher Education Assessments: Examining Risk and Tech-Savviness,included_reference_application_draft,21,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S089,phase2,Pair C,Impact of AI adoption on the digital workplace and accounting education for univ,included_reference_application_draft,5,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S090,phase1,Pair B,Generative AI Use Among Saudi and Korean Language Learners in Higher Education:,included_reference_application_draft,3,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 3 of 3 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S091,phase1,Pair A,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelli,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S092,phase2,Pair D,"Chatting Heavily with ChatGPT: Investigating Usefulness, Privacy, Integrity, Eas",included_reference_application_draft,3,source_checked_or_logged_reference_draft_rows,paper_b_phase2_step4_decision_application_audit_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,path_or_beta_conversion_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,notes=Freeze audit reconstructed original_beta values from the source PDF; privacy security peer behavior and academic integrity paths remain outside the target row set. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
