task_unit_id,study_id,denominator_family,source_condition,field_key,construct_pair,expected_answer_type,available_model_count,available_models,model_coverage_status,answer_state_count,cross_model_behavior_disagreement,correct_models,incorrect_models,abstaining_models,primary_score_status,primary_is_correct,primary_answer_state,review_priority,triage_signals
P2-TASK-00902,S016,absence_or_blank_consensus,blank_or_absence_consensus,AUT-SI,AUT-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00903,S016,absence_or_blank_consensus,blank_or_absence_consensus,AUT-TRA,AUT-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00904,S016,absence_or_blank_consensus,blank_or_absence_consensus,AUT-TRU,AUT-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00905,S016,absence_or_blank_consensus,blank_or_absence_consensus,AUT-UB,AUT-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00906,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,BI-EE,BI-EE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00907,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,BI-FC,BI-FC,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00908,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,BI-PE,BI-PE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00909,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,BI-SE,BI-SE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00910,S016,absence_or_blank_consensus,blank_or_absence_consensus,BI-SI,BI-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00911,S016,absence_or_blank_consensus,blank_or_absence_consensus,BI-TRA,BI-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00912,S016,absence_or_blank_consensus,blank_or_absence_consensus,BI-TRU,BI-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00913,S016,absence_or_blank_consensus,blank_or_absence_consensus,BI-UB,BI-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00914,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,EE-FC,EE-FC,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00915,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,EE-PE,EE-PE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00916,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,EE-SE,EE-SE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00917,S016,absence_or_blank_consensus,blank_or_absence_consensus,EE-SI,EE-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00918,S016,absence_or_blank_consensus,blank_or_absence_consensus,EE-TRA,EE-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00919,S016,absence_or_blank_consensus,blank_or_absence_consensus,EE-TRU,EE-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00920,S016,absence_or_blank_consensus,blank_or_absence_consensus,EE-UB,EE-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00921,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,FC-PE,FC-PE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00922,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,FC-SE,FC-SE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00923,S016,absence_or_blank_consensus,blank_or_absence_consensus,FC-SI,FC-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00924,S016,absence_or_blank_consensus,blank_or_absence_consensus,FC-TRA,FC-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00925,S016,absence_or_blank_consensus,blank_or_absence_consensus,FC-TRU,FC-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00926,S016,absence_or_blank_consensus,blank_or_absence_consensus,FC-UB,FC-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00927,S016,direct_r_effect_size_extraction,source_pointer_only_direct_r,PE-SE,PE-SE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00928,S016,absence_or_blank_consensus,blank_or_absence_consensus,PE-SI,PE-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00929,S016,absence_or_blank_consensus,blank_or_absence_consensus,PE-TRA,PE-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00930,S016,absence_or_blank_consensus,blank_or_absence_consensus,PE-TRU,PE-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00931,S016,absence_or_blank_consensus,blank_or_absence_consensus,PE-UB,PE-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00932,S016,absence_or_blank_consensus,blank_or_absence_consensus,SE-SI,SE-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00933,S016,absence_or_blank_consensus,blank_or_absence_consensus,SE-TRA,SE-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00934,S016,absence_or_blank_consensus,blank_or_absence_consensus,SE-TRU,SE-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00935,S016,absence_or_blank_consensus,blank_or_absence_consensus,SE-UB,SE-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00936,S016,absence_or_blank_consensus,blank_or_absence_consensus,SI-TRA,SI-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00937,S016,absence_or_blank_consensus,blank_or_absence_consensus,SI-TRU,SI-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00938,S016,absence_or_blank_consensus,blank_or_absence_consensus,SI-UB,SI-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00939,S016,absence_or_blank_consensus,blank_or_absence_consensus,TRA-TRU,TRA-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00940,S016,absence_or_blank_consensus,blank_or_absence_consensus,TRA-UB,TRA-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00941,S016,absence_or_blank_consensus,blank_or_absence_consensus,TRU-UB,TRU-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00942,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-ATT,ANX-ATT,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00943,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-AUT,ANX-AUT,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00944,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-BI,ANX-BI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00945,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-EE,ANX-EE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00946,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-FC,ANX-FC,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00947,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-PE,ANX-PE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00948,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-SE,ANX-SE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00949,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-SI,ANX-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00950,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-TRA,ANX-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00951,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-TRU,ANX-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00952,S097,absence_or_blank_consensus,blank_or_absence_consensus,ANX-UB,ANX-UB,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00953,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-AUT,ATT-AUT,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00954,S097,direct_r_effect_size_extraction,source_pointer_only_direct_r,ATT-BI,ATT-BI,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00955,S097,direct_r_effect_size_extraction,source_pointer_only_direct_r,ATT-EE,ATT-EE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00956,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-FC,ATT-FC,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00957,S097,direct_r_effect_size_extraction,source_pointer_only_direct_r,ATT-PE,ATT-PE,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00958,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-SE,ATT-SE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00959,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-SI,ATT-SI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00960,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-TRA,ATT-TRA,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00961,S097,absence_or_blank_consensus,blank_or_absence_consensus,ATT-TRU,ATT-TRU,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00962,S097,direct_r_effect_size_extraction,source_pointer_only_direct_r,ATT-UB,ATT-UB,numeric_effect_size_with_source_type,0,,reference_only_no_locked_model_row,0,0,,,,reference_only_no_locked_model_row,,missing_model_row,P0_expert_review_numeric_or_masem,high_consequence_numeric;primary_missing_model_row;reference_only_no_locked_model_row;source_or_trace_risk;source_pointer_only_no_evidence_text
P2-TASK-00963,S097,absence_or_blank_consensus,blank_or_absence_consensus,AUT-BI,AUT-BI,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00964,S097,absence_or_blank_consensus,blank_or_absence_consensus,AUT-EE,AUT-EE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00965,S097,absence_or_blank_consensus,blank_or_absence_consensus,AUT-FC,AUT-FC,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00966,S097,absence_or_blank_consensus,blank_or_absence_consensus,AUT-PE,AUT-PE,blank_or_no_reported_value,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,codex:gpt-5.5;gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,scored,0,blank or no reported value,P2_blank_behavior_audit,blank_behavior_family;cross_model_behavior_disagreement;primary_incorrect
