review_priority,study_id,pair,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location_present,source_packet_exists,value_found_in_source_packet_text,pdf_exists,pdf_text_status,value_found_in_pdf_text,pdf_path_local_only
p1_review_value_not_found_in_any_text,S080,BI-PE,BI,PE,0.26,251.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S080.pdf
p1_review_value_not_found_in_any_text,S216,ANX-EE,ANX,EE,0.14,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S216,BI-EE,BI,EE,0.25,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S216,BI-PE,BI,PE,0.25,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S216,BI-SI,BI,SI,0.21,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S216,EE-PE,EE,PE,0.28,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S216,EE-SE,EE,SE,0.28,348.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S216.pdf
p1_review_value_not_found_in_any_text,S192,BI-FC,BI,FC,0.34,693.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S192.pdf
p1_review_value_not_found_in_any_text,S112,BI-EE,BI,EE,0.16,500.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S112.pdf
p1_review_value_not_found_in_any_text,S112,BI-FC,BI,FC,0.16,500.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S112.pdf
p1_review_value_not_found_in_any_text,S112,BI-PE,BI,PE,0.23,500.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S112.pdf
p1_review_value_not_found_in_any_text,S134,BI-EE,BI,EE,0.1,506.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S134.pdf
p1_review_value_not_found_in_any_text,S134,BI-FC,BI,FC,0.07,506.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S134.pdf
p1_review_value_not_found_in_any_text,S148,ATT-BI,ATT,BI,0.99,603.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S148.pdf
p1_review_value_not_found_in_any_text,S129,BI-EE,BI,EE,0.29,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,BI-SI,BI,SI,-0.14,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,BI-UB,BI,UB,0.46,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,EE-FC,EE,FC,0.28,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,EE-PE,EE,PE,0.52,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,EE-SI,EE,SI,-0.11,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,EE-TRU,EE,TRU,0.4,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S129,PE-SI,PE,SI,0.42,300.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S129.pdf
p1_review_value_not_found_in_any_text,S014,PE-UB,PE,UB,0.31,750.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S014.pdf
p1_review_value_not_found_in_any_text,S014,SI-UB,SI,UB,0.3,750.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S014.pdf
p1_review_value_not_found_in_any_text,S036,ANX-BI,ANX,BI,-0.336,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S036,ANX-EE,ANX,EE,-0.321,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S036,ANX-PE,ANX,PE,-0.366,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S036,ANX-SE,ANX,SE,-0.318,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S036,ANX-SI,ANX,SI,-0.374,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S036,ANX-TRU,ANX,TRU,-0.26,480.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf
p1_review_value_not_found_in_any_text,S061,BI-FC,BI,FC,-0.1,473.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S061.pdf
p1_review_value_not_found_in_any_text,S128,BI-FC,BI,FC,-0.216,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S128,EE-FC,EE,FC,-0.121,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S128,FC-PE,FC,PE,-0.065,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S128,FC-SI,FC,SI,-0.063,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S128,FC-UB,FC,UB,-0.101,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S128,PE-SI,PE,SI,-0.22,395.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S128.pdf
p1_review_value_not_found_in_any_text,S152,ATT-BI,ATT,BI,0.21,604.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S152.pdf
p1_review_value_not_found_in_any_text,S152,BI-PE,BI,PE,0.11,604.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S152.pdf
p1_review_value_not_found_in_any_text,S152,BI-SE,BI,SE,0.16,604.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S152.pdf
p1_review_value_not_found_in_any_text,S113,BI-EE,BI,EE,0.45,118.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S113.pdf
p1_review_value_not_found_in_any_text,S113,BI-PE,BI,PE,0.53,118.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S113.pdf
p1_review_value_not_found_in_any_text,S070,BI-EE,BI,EE,0.581,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,BI-FC,BI,FC,0.469,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,BI-PE,BI,PE,0.502,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,EE-FC,EE,FC,0.576,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,EE-PE,EE,PE,0.502,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,EE-UB,EE,UB,0.563,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,FC-PE,FC,PE,0.346,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,FC-SI,FC,SI,0.611,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,FC-UB,FC,UB,0.488,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,PE-SI,PE,SI,0.471,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,PE-UB,PE,UB,0.524,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S070,SI-UB,SI,UB,0.675,245.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S070.pdf
p1_review_value_not_found_in_any_text,S200,BI-FC,BI,FC,-0.17,431.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S200.pdf
p2_source_or_pdf_presence_gap,S218,ATT-BI,ATT,BI,0.784,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S218,ATT-EE,ATT,EE,0.688,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S218,ATT-PE,ATT,PE,0.701,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S218,BI-EE,BI,EE,0.59,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S218,BI-PE,BI,PE,0.632,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S218,EE-PE,EE,PE,0.66,242.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
p2_source_or_pdf_presence_gap,S185,ATT-BI,ATT,BI,0.453,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,ATT-EE,ATT,EE,0.473,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,ATT-PE,ATT,PE,0.504,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,ATT-SI,ATT,SI,0.207,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,BI-EE,BI,EE,0.524,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,BI-PE,BI,PE,0.459,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,BI-SI,BI,SI,0.216,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,EE-PE,EE,PE,0.482,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,EE-SI,EE,SI,0.279,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S185,PE-SI,PE,SI,0.28,298.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
p2_source_or_pdf_presence_gap,S194,BI-EE,BI,EE,0.44,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,BI-FC,BI,FC,0.49,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,BI-PE,BI,PE,-0.08,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,BI-SI,BI,SI,0.62,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,BI-UB,BI,UB,0.64,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-FC,EE,FC,0.55,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-PE,EE,PE,-0.1,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-SI,EE,SI,0.52,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-UB,EE,UB,0.49,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-PE,FC,PE,-0.12,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-SI,FC,SI,0.59,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-UB,FC,UB,0.52,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,PE-SI,PE,SI,-0.12,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,PE-UB,PE,UB,-0.05,469.0,latest_human_R2_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
