study_id,record_id,title,year,doi,phase,pair_a_coders,pair_b_coders,single_coder
S160,REC_08993,Generative AI in Higher Education Assessments: Examining Risk and Tech-Savviness on Student's Adoption,2025,10.1177/02734753241302459,Phase 1: Pair A,"R1, R2",,
S161,REC_09123,Impact of AI adoption on the digital workplace and accounting education for university students,2025,10.1177/09504222251376760,Phase 2: Single,,,R3
S162,REC_09449,Generative AI Use Among Saudi and Korean Language Learners in Higher Education: Examination Through a Modified TAM Framework,2025,10.1177/21582440251387804,Phase 1: Pair B,,"R3, R4",
S163,REC_09455,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelligence in Academic Writing: A Sequential Exploratory Mixed-Method Study,2025,10.1177/21582440251406744,Phase 2: Single,,,R2
S164,REC_09466,"Chatting Heavily with ChatGPT: Investigating Usefulness, Privacy, Integrity, Ease, and Intention as Drivers of Technology Acceptance Among Business Communication Students",2025,10.1177/23294906251319016,Phase 2: Single,,,R2
S165,REC_09774,Assessing ChatGPT adoption in Jordanian medical education: a UTAUT model approach,2025,10.1186/s12909-025-07336-y,Phase 2: Single,,,R4
S166,REC_09777,Using Generative AI in nursing education: Students' perceptions,2025,10.1186/s12909-025-07416-z,Phase 2: Single,,,R1
S167,REC_09827,"Generative artificial intelligence acceptance, anxiety, and behavioral intention in the middle east: a TAM-based structural equation modelling approach",2025,10.1186/s12912-025-03436-8,Phase 1: Pair A,"R1, R2",,
S168,REC_09828,Insights into the relationship between anxiety and attitudes toward artificial intelligence among nursing students,2025,10.1186/s12912-025-03490-2,Phase 1: Pair B,,"R3, R4",
S169,REC_09832,Applying the technology acceptance model to examine factors influencing chatbot use in HPV prevention education among nursing students,2025,10.1186/s12912-025-03620-w,Phase 1: Pair B,,"R3, R4",
S170,REC_10018,What is the influence of psychosocial factors on artificial intelligence appropriation in college students?,2025,10.1186/s40359-024-02328-x,Phase 2: Single,,,R1
S171,REC_10134,Artificial intelligence and communication technologies in academia: faculty perceptions and the adoption of generative AI,2025,10.1186/s41239-025-00511-7,Phase 2: Single,,,R4
S172,REC_10137,In GenAI we trust: An investigation of university students' reliance on and resistance to generative AI in language learning,2025,10.1186/s41239-025-00547-9,Phase 1: Pair B,,"R3, R4",
S173,REC_10262,Determining Factors Influencing Indonesian Higher Education Students' Intention to Adopt Artificial Intelligence Tools for Self-Directed Learning Management,2025,10.12973/eu-jer.14.3.805,Phase 2: Single,,,R3
S174,REC_10950,Understanding university students' adoption of ChatGPT: A TAM-based exploration of key factors,2025,10.15240/tul/001/2025-5-023,Phase 1: Pair A,"R1, R2",,
S175,REC_11027,Antecedents of students' behavioural intention to use generative artificial intelligence: Quantitative research,2025,10.15678/EBER.2025.130101,Phase 2: Single,,,R1
S176,REC_11073,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,2025,10.1590/1983-3652.2025.57135,Phase 2: Single,,,R1
S177,REC_11293,The Use of ChatGPT in Academic Writing by University Students in Jordan,2025,10.18178/ijiet.2025.15.7.2348,Phase 2: Single,,,R2
S178,REC_11299,Unleashing the determinants of adoption of ChatGPT in medical education: A student perspective,2025,10.18231/j.ijfcm.11419.1758619569,Phase 1: Pair B,,"R3, R4",
S179,REC_11401,Integrating AI in Academia: A SEM Evaluation of Research Scholars’ Usage Intentions on ChatGPT,2025,10.18870/hlrc.v15i2.1598,Phase 2: Single,,,R3
S180,REC_11462,The impact of artificial intelligence on maker education: Motivation and technology acceptance in teacher training,2025,10.20448/jeelr.v12i2.6893,Phase 2: Single,,,R1
S181,REC_11946,Acceptance of AI-Powered Chatbots Among Physiotherapy Students: International Cross-Sectional Study,2025,10.2196/76574,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S182,REC_12164,Factors Driving ChatGPT Adoption in Higher Education: A UTAUT-Based Analysis of Student Behavioural Intentions,2025,https://ajue.uitm.edu.my/wp-content/uploads/2025/06/42-Tehreem-Factors-Driving-ChatGPT-Adoption.pdf,Phase 2: Single,,,R4
S183,REC_12170,FACTORS INFLUENCING ARTIFICIAL INTELLIGENCE (AI) ADOPTION AMONG MALAYSIAN STUDENTS: A PARTIAL LEAST SQUARE-STRUCTURAL EQUATION MODELING APPROACH,2025,10.24200/jonus.vol10iss2pp475-493,Phase 1: Pair A,"R1, R2",,
S184,REC_12266,Determinants of Generative AI Adoption in Higher Education: A Social Science Perspective on Thai Faculty Behavioral Intentions,2025,10.26417/bamx9m98,Phase 2: Single,,,R4
S185,REC_12366,A MODEL FOR THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN INCLUSIVE EDUCATION: AN EXPLORATORY STUDY OF KEY FACTORS AND EXPERT INSIGHTS,2025,10.28945/5612,Phase 1: Pair B,,"R3, R4",
S186,REC_12381,Predicting EFL Students’ Use of Artificial Intelligence Tool in Advancing Their Writing Skills,2025,10.28991/ESJ-2025-SIED1-018,Phase 2: Single,,,R2
S187,REC_12458,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabulary Acquisition Based on The Technology Acceptance Model,2025,10.30564/fls.v7i2.8593,Phase 1: Pair A,"R1, R2",,
S188,REC_12496,Higher education students' ChatGPT use behavior: Structural equation modelling of contributing factors through a modified UTAUT model,2025,10.30935/cedtech/17243,Phase 2: Single,,,R2
S189,REC_12680,Factors Influencing International Students' Adoption of Generative Artificial Intelligence: The Mediating Role of Perceived Values and Attitudes,2025,10.32674/fnwdpn48,Phase 2: Single,,,R1
S190,REC_12813,Faculty acceptance and use of generative artificial intelligence in their practice,2025,10.3389/feduc.2025.1427450,Phase 1: Pair A,"R1, R2",,
S191,REC_12837,The moderating role of ethnic culture on adoption intention of generative artificial intelligence among university students,2025,10.3389/feduc.2025.1622620,Phase 1: Pair B,,"R3, R4",
S192,REC_12844,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantitative study of university students and faculty,2025,10.3389/feduc.2025.1652292,Phase 1: Pair A,"R1, R2",,
S193,REC_12850,Motivational and appraisal factors shaping generative AI use and intention in Austrian higher education students and teachers,2025,10.3389/feduc.2025.1677827,Phase 1: Pair A,"R1, R2",,
S194,REC_12853,Adoption intention of generative artificial intelligence among Chinese college students: an extended TAM-UTAUT2 model from the four-helix perspective,2025,10.3389/feduc.2025.1686408,Phase 2: Single,,,R4
S195,REC_12854,Balancing generative AI integration and faculty well-being: evidence from Chinese higher education,2025,10.3389/feduc.2025.1688902,Phase 1: Pair A,"R1, R2",,
S196,REC_13303,Exploring pre-service music teachers' acceptance of generative artificial intelligence: a PLS-SEM-ANN approach,2025,10.3389/fpsyg.2025.1571279,Phase 1: Pair A,"R1, R2",,
S197,REC_13312,"Exploring AI tool adoption in higher education: evidence from a PLS-SEM model integrating multimodal literacy, self-efficacy, and university support",2025,10.3389/fpsyg.2025.1619391,Phase 2: Single,,,R1
S198,REC_13556,Prediction of the Use of Generative Artificial Intelligence Through ChatGPT Among Costa Rican University Students: A PLS Model Based on UTAUT2,2025,10.3390/app15063363,Phase 1: Pair A,"R1, R2",,
S199,REC_13564,Academic Level as a Moderator in University Students' Acceptance of Educational AI Chatbots: An Extended TAM3 Model,2025,10.3390/app151910603,Phase 2: Single,,,R4
S200,REC_13573,Examining the Acceptance and Use of AI-Based Assistive Technology Among University Students with Visual Disability: The Moderating Role of Physical Self-Esteem,2025,10.3390/bioengineering12101095,Phase 2: Single,,,R2
S201,REC_13643,Examining the Influence of AI on Python Programming Education: An Empirical Study and Analysis of Student Acceptance Through TAM3,2025,10.3390/computers14100411,Phase 2: Single,,,R4
S202,REC_13706,Mindsets Matter: A Mediation Analysis of the Role of a Technological Growth Mindset in Generative Artificial Intelligence Usage in Higher Education,2025,10.3390/educsci15030310,Phase 1: Pair B,,"R3, R4",
S203,REC_13714,Generative AI as a Cognitive Co-Pilot in English Language Learning in Higher Education,2025,10.3390/educsci15060686,Phase 1: Pair B,,"R3, R4",
S204,REC_13717,ChatGPT or Human Mentors? Student Perceptions of Technology Acceptance and Use and the Future of Mentorship in Higher Education,2025,10.3390/educsci15060746,Phase 2: Single,,,R2
S205,REC_13718,Habit Predicting Higher Education EFL Students' Intention and Use of AI: A Nexus of UTAUT-2 Model and Metacognition Theory,2025,10.3390/educsci15060756,Phase 2: Single,,,R3
S206,REC_13723,Learners' Acceptance of ChatGPT in School,2025,10.3390/educsci15070904,Phase 2: Single,,,R4
S207,REC_13727,Exploring Generation Z's Acceptance of Artificial Intelligence in Higher Education: A TAM and UTAUT-Based PLS-SEM and Cluster Analysis,2025,10.3390/educsci15081044,Phase 1: Pair A,"R1, R2",,
S208,REC_13734,Factors Influencing the Reported Intention of Higher Vocational Computer Science Students in China to Use AI After Ethical Training: A Study in Guangdong Province,2025,10.3390/educsci15111431,Phase 1: Pair A,"R1, R2",,
S209,REC_13753,Responses to the AI Revolution in Hospitality and Tourism Higher Education: The Perception of Students Towards Accepting and Using Microsoft Copilot,2025,10.3390/ejihpe15030035,Phase 2: Single,,,R3
S210,REC_13780,Modeling Student Acceptance of AI Technologies in Higher Education: A Hybrid SEM-ANN Approach,2025,10.3390/fi17120581,Phase 2: Single,,,R2
S211,REC_13884,Determinants of ChatGPT Adoption Intention in Higher Education: Expanding on TAM with the Mediating Roles of Trust and Risk,2025,10.3390/info16020082,Phase 2: Single,,,R1
S212,REC_13887,"Trust in Generative AI Tools: A Comparative Study of Higher Education Students, Teachers, and Researchers",2025,10.3390/info16070622,Phase 1: Pair B,,"R3, R4",
S213,REC_13975,Artificial Intelligence Adoption Amongst Digitally Proficient Trainee Teachers: A Structural Equation Modelling Approach,2025,10.3390/socsci14060355,Phase 2: Single,,,R1
S214,REC_14103,Exploring the Determinants of the Sustainable Use of Artificial Intelligence in Peruvian University Teachers: A Structural Equation Modeling Analysis,2025,10.3390/su17072834,Phase 2: Single,,,R3
S215,REC_14110,Sustainable AI Solutions for Empowering Visually Impaired Students: The Role of Assistive Technologies in Academic Success,2025,10.3390/su17125609,Phase 1: Pair A,"R1, R2",,
S216,REC_14177,Research Article A detailed examination of faculty acceptance of artificial intelligence: Insights from key variables,2025,10.33902/jpsp.202534245,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S217,REC_14209,Determinants of Student Adoption of Generative AI in Higher Education,2025,10.34190/ejel.23.1.3599,Phase 1: Pair A,"R1, R2",,
S218,REC_14211,The Role of Learning Motivation Factors in Deepseek Generative AI Adoption among Higher Education Students in India,2025,10.34190/ejel.23.4.4245,Phase 1: Pair B,,"R3, R4",
S219,REC_14246,Battle of AI chatbots: Graduate students’ perceptions of ChatGPT versus Gemini for learning purposes in Egyptian higher education,2025,10.37074/jalt.2025.8.1.7,Phase 1: Pair B,,"R3, R4",
S220,REC_14248,"Student acceptance of ChatGPT in higher education: A mixed-method study of attitudes, intentions, and concerns",2025,10.37074/jalt.2025.8.2.7,Phase 1: Pair B,,"R3, R4",
S221,REC_14511,Measuring Graduate Students' Use of ChatGPT in Academic Writing Based on the Technology Acceptance Model,2025,10.4018/IJWLTT.392931,Phase 2: Single,,,R1
S222,REC_14719,The Use of Artificial Intelligence in Accounting Classes: Behavioral Insights from Students,2025,10.47738/jads.v6i3.781,Phase 1: Pair B,,"R3, R4",
S223,REC_14931,Perceived Ease of Use and Usefulness in AI-Generated Content Adoption: Gender as a Moderator,2025,10.53761/gka8jq15,Phase 1: Pair A,"R1, R2",,
S224,REC_15667,Mapping Edifying Territories: A Cross-Sectional Study on the Dynamics Influencing Students' Readiness and Intention to Clinch Artificial Intelligence,2025,https://www.researchgate.net/profile/Cristina-Teresa-Lim/publication/392840057_Mapping_Edifying_Territories_A_Cross-Sectional_Study_on_the_Dynamics_Influencing_Students'_Readiness_and_Intention_to_Clinch_Artificial_Intelligence/links/6854e82793040b17338c2993/Mapping-Edifying-Territories-A-Cross-Sectional-Study-on-the-Dynamics-Influencing-Students-Readiness-and-Intention-to-Clinch-Artificial-Intelligence.pdf,Phase 1: Pair B,,"R3, R4",
S225,REC_05446,Exploring the Factors on the Acceptance of Generative Artificial Intelligence Teaching Assistants: The Perspective of Technology Acceptance Model,2026,10.1080/10447318.2025.2513581,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
